Motivation_Level,Peer_Influence,Access_to_Resources,Parental_Involvement,Gender_Male,Extracurricular_Activities_Yes,Learning_Disabilities_Yes,Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Stress_Proxy,Target
1.0,2.0,1.0,2.0,0.0,0.0,0.0,33.0,61.0,6.0,92.0,1.0,4.0,0.3833,1
0.0,0.0,1.0,2.0,0.0,0.0,0.0,19.0,82.0,8.0,82.0,2.0,4.0,0.5894,1
1.0,2.0,1.0,2.0,1.0,1.0,0.0,16.0,67.0,9.0,74.0,1.0,3.0,0.4121,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,63.0,8.0,55.0,0.0,3.0,0.6197,0
1.0,2.0,1.0,1.0,0.0,1.0,0.0,18.0,96.0,4.0,93.0,0.0,4.0,0.5636,1
2.0,0.0,1.0,2.0,0.0,1.0,0.0,11.0,84.0,6.0,76.0,3.0,3.0,0.3833,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,77.0,6.0,57.0,4.0,5.0,0.4742,1
0.0,2.0,2.0,1.0,0.0,1.0,0.0,13.0,71.0,6.0,51.0,4.0,4.0,0.7015,1
2.0,2.0,1.0,1.0,0.0,0.0,0.0,15.0,73.0,7.0,76.0,2.0,4.0,0.3197,0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,83.0,7.0,63.0,3.0,2.0,0.35,0
1.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,61.0,4.0,86.0,3.0,4.0,0.5788,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,83.0,8.0,62.0,4.0,5.0,0.5136,1
2.0,0.0,1.0,2.0,1.0,1.0,0.0,13.0,98.0,5.0,89.0,1.0,3.0,0.4015,1
1.0,2.0,0.0,1.0,1.0,1.0,0.0,26.0,71.0,8.0,99.0,1.0,3.0,0.3697,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,89.0,8.0,65.0,2.0,3.0,0.4076,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,17.0,79.0,6.0,75.0,1.0,4.0,0.6712,1
1.0,2.0,0.0,1.0,1.0,0.0,0.0,21.0,93.0,6.0,64.0,2.0,4.0,0.4742,1
0.0,2.0,1.0,1.0,1.0,1.0,0.0,11.0,98.0,9.0,82.0,1.0,3.0,0.6167,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,100.0,8.0,71.0,2.0,4.0,0.703,0
1.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,60.0,9.0,85.0,0.0,4.0,0.4576,0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,99.0,9.0,52.0,0.0,4.0,0.6848,0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,69.0,6.0,91.0,0.0,1.0,0.6333,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,72.0,9.0,52.0,1.0,1.0,0.4121,0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,88.0,4.0,54.0,0.0,4.0,0.7152,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,67.0,9.0,98.0,2.0,0.0,0.3591,0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.0,64.0,8.0,78.0,2.0,3.0,0.5212,1
2.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,74.0,6.0,67.0,0.0,4.0,0.3152,0
1.0,1.0,2.0,2.0,0.0,0.0,0.0,17.0,92.0,6.0,93.0,4.0,4.0,0.5045,1
1.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,81.0,6.0,88.0,1.0,3.0,0.5273,1
0.0,0.0,2.0,1.0,1.0,0.0,0.0,21.0,74.0,6.0,66.0,1.0,4.0,0.6409,1
1.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,64.0,8.0,82.0,3.0,3.0,0.4152,0
1.0,2.0,1.0,1.0,0.0,0.0,1.0,21.0,85.0,8.0,80.0,3.0,3.0,0.4076,1
0.0,2.0,2.0,2.0,0.0,0.0,0.0,19.0,81.0,6.0,73.0,1.0,3.0,0.6561,1
0.0,2.0,1.0,1.0,0.0,1.0,0.0,22.0,65.0,7.0,95.0,3.0,2.0,0.6,1
2.0,2.0,1.0,2.0,1.0,1.0,0.0,17.0,61.0,9.0,69.0,1.0,3.0,0.2379,0
1.0,0.0,2.0,1.0,1.0,1.0,1.0,10.0,71.0,6.0,86.0,1.0,2.0,0.5576,0
1.0,2.0,0.0,2.0,0.0,1.0,0.0,16.0,64.0,5.0,65.0,3.0,4.0,0.5455,1
2.0,2.0,1.0,1.0,0.0,0.0,0.0,22.0,72.0,5.0,78.0,1.0,3.0,0.3333,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,26.0,87.0,7.0,81.0,1.0,2.0,0.403,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,98.0,6.0,88.0,1.0,3.0,0.4742,1
1.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,64.0,7.0,65.0,1.0,4.0,0.5697,0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,87.0,8.0,79.0,1.0,4.0,0.2636,1
1.0,2.0,1.0,2.0,1.0,1.0,0.0,18.0,91.0,6.0,69.0,5.0,2.0,0.497,1
1.0,2.0,2.0,1.0,1.0,1.0,0.0,27.0,83.0,9.0,94.0,2.0,2.0,0.3288,1
2.0,1.0,1.0,2.0,1.0,1.0,0.0,21.0,70.0,5.0,93.0,1.0,3.0,0.3409,1
0.0,1.0,1.0,2.0,0.0,0.0,0.0,17.0,95.0,5.0,54.0,2.0,2.0,0.7045,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,87.0,7.0,96.0,1.0,5.0,0.4712,1
1.0,1.0,2.0,1.0,1.0,1.0,0.0,14.0,90.0,7.0,60.0,2.0,4.0,0.4939,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,83.0,10.0,79.0,1.0,2.0,0.303,1
1.0,1.0,0.0,2.0,1.0,1.0,0.0,27.0,64.0,8.0,58.0,2.0,1.0,0.3621,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,76.0,9.0,71.0,1.0,3.0,0.4652,0
2.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,96.0,5.0,88.0,0.0,2.0,0.4091,1
1.0,1.0,1.0,0.0,1.0,1.0,0.0,18.0,64.0,7.0,57.0,1.0,3.0,0.4636,0
1.0,2.0,2.0,1.0,1.0,0.0,0.0,26.0,64.0,7.0,56.0,3.0,3.0,0.403,1
0.0,2.0,1.0,1.0,1.0,0.0,0.0,19.0,62.0,5.0,90.0,2.0,3.0,0.6894,0
2.0,2.0,0.0,1.0,1.0,1.0,0.0,21.0,81.0,7.0,65.0,1.0,2.0,0.2742,1
1.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,68.0,8.0,77.0,1.0,4.0,0.4455,1
0.0,2.0,2.0,2.0,1.0,0.0,0.0,8.0,87.0,9.0,97.0,2.0,3.0,0.6394,1
2.0,2.0,0.0,2.0,0.0,1.0,1.0,17.0,86.0,4.0,60.0,2.0,3.0,0.4045,1
2.0,1.0,0.0,2.0,1.0,1.0,0.0,11.0,85.0,10.0,57.0,0.0,5.0,0.25,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,73.0,9.0,59.0,0.0,4.0,0.4348,0
1.0,2.0,1.0,2.0,1.0,1.0,0.0,24.0,99.0,7.0,69.0,0.0,3.0,0.4182,1
1.0,1.0,0.0,2.0,1.0,1.0,0.0,21.0,88.0,7.0,69.0,4.0,3.0,0.4409,1
1.0,1.0,2.0,1.0,1.0,1.0,0.0,17.0,68.0,8.0,71.0,1.0,2.0,0.4379,1
0.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,75.0,7.0,65.0,0.0,4.0,0.6227,0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,27.0,71.0,9.0,51.0,3.0,1.0,0.3288,1
1.0,1.0,2.0,0.0,0.0,1.0,0.0,24.0,93.0,8.0,78.0,1.0,4.0,0.3848,1
0.0,2.0,1.0,1.0,0.0,0.0,0.0,29.0,72.0,7.0,68.0,0.0,3.0,0.547,1
1.0,1.0,0.0,2.0,0.0,0.0,0.0,21.0,80.0,7.0,73.0,0.0,2.0,0.4409,1
1.0,2.0,2.0,2.0,1.0,1.0,0.0,19.0,79.0,9.0,85.0,0.0,2.0,0.3894,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,23.0,72.0,7.0,78.0,1.0,3.0,0.4258,1
2.0,1.0,1.0,2.0,1.0,0.0,0.0,26.0,72.0,9.0,81.0,0.0,3.0,0.1697,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,96.0,4.0,89.0,2.0,2.0,0.4803,1
1.0,2.0,1.0,1.0,1.0,1.0,0.0,12.0,85.0,7.0,54.0,4.0,3.0,0.5091,1
0.0,2.0,1.0,2.0,0.0,0.0,0.0,17.0,61.0,7.0,63.0,1.0,4.0,0.6379,0
2.0,2.0,1.0,1.0,0.0,1.0,0.0,16.0,73.0,6.0,75.0,3.0,3.0,0.3455,1
1.0,0.0,0.0,2.0,0.0,1.0,0.0,28.0,100.0,6.0,72.0,1.0,2.0,0.4212,1
0.0,2.0,2.0,1.0,1.0,0.0,0.0,30.0,66.0,7.0,61.0,0.0,2.0,0.5394,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,20.0,100.0,7.0,73.0,1.0,4.0,0.4485,1
1.0,2.0,1.0,1.0,1.0,1.0,0.0,25.0,82.0,5.0,86.0,0.0,4.0,0.4773,1
1.0,2.0,0.0,1.0,1.0,0.0,0.0,27.0,71.0,8.0,69.0,1.0,4.0,0.3621,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,24.0,70.0,7.0,71.0,1.0,4.0,0.4182,1
2.0,2.0,1.0,2.0,1.0,1.0,0.0,17.0,68.0,4.0,65.0,0.0,2.0,0.4045,0
2.0,2.0,0.0,2.0,0.0,1.0,0.0,13.0,87.0,8.0,55.0,1.0,3.0,0.3015,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,27.0,92.0,7.0,81.0,0.0,1.0,0.3955,1
0.0,0.0,2.0,1.0,1.0,1.0,0.0,14.0,70.0,7.0,53.0,0.0,3.0,0.6606,0
1.0,1.0,1.0,2.0,1.0,0.0,0.0,21.0,82.0,7.0,52.0,4.0,3.0,0.4409,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,74.0,7.0,66.0,0.0,3.0,0.4939,0
1.0,2.0,1.0,1.0,1.0,1.0,0.0,20.0,69.0,8.0,96.0,2.0,3.0,0.4152,1
2.0,2.0,2.0,0.0,1.0,1.0,1.0,12.0,72.0,8.0,56.0,3.0,1.0,0.3091,0
2.0,2.0,1.0,1.0,0.0,1.0,0.0,22.0,67.0,7.0,72.0,3.0,2.0,0.2667,1
0.0,1.0,1.0,1.0,0.0,1.0,0.0,27.0,63.0,8.0,55.0,1.0,3.0,0.5288,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0,80.0,8.0,93.0,2.0,1.0,0.3697,1
0.0,2.0,1.0,2.0,1.0,1.0,0.0,12.0,67.0,9.0,57.0,0.0,2.0,0.6091,0
0.0,2.0,2.0,2.0,1.0,1.0,0.0,18.0,78.0,6.0,61.0,1.0,5.0,0.6636,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,88.0,8.0,87.0,2.0,2.0,0.4303,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,90.0,8.0,67.0,2.0,3.0,0.3621,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,22.0,68.0,7.0,58.0,0.0,3.0,0.4333,0
2.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,91.0,4.0,54.0,3.0,4.0,0.4045,1
0.0,0.0,2.0,0.0,1.0,0.0,1.0,9.0,76.0,6.0,78.0,0.0,4.0,0.7318,0
1.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0,62.0,7.0,95.0,1.0,3.0,0.4182,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,93.0,6.0,67.0,0.0,3.0,0.4667,1
1.0,1.0,2.0,1.0,0.0,1.0,0.0,30.0,82.0,7.0,71.0,3.0,3.0,0.3727,1
1.0,2.0,2.0,2.0,1.0,0.0,0.0,17.0,98.0,6.0,68.0,2.0,3.0,0.5045,1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0,85.0,6.0,57.0,2.0,2.0,0.6636,1
0.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,93.0,7.0,78.0,0.0,4.0,0.653,1
1.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,63.0,8.0,62.0,2.0,4.0,0.4303,1
0.0,1.0,2.0,2.0,0.0,1.0,0.0,20.0,97.0,7.0,97.0,2.0,4.0,0.6152,1
1.0,1.0,2.0,1.0,0.0,1.0,0.0,9.0,65.0,9.0,67.0,1.0,3.0,0.4652,0
0.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,88.0,6.0,87.0,1.0,4.0,0.7697,1
0.0,2.0,2.0,1.0,0.0,1.0,0.0,23.0,86.0,8.0,96.0,3.0,2.0,0.5591,1
2.0,2.0,1.0,0.0,0.0,1.0,0.0,21.0,97.0,8.0,96.0,2.0,4.0,0.2409,1
0.0,2.0,2.0,0.0,1.0,0.0,1.0,17.0,98.0,5.0,75.0,1.0,3.0,0.7045,1
0.0,2.0,2.0,1.0,1.0,0.0,0.0,13.0,81.0,6.0,53.0,2.0,4.0,0.7015,1
0.0,2.0,1.0,1.0,1.0,1.0,0.0,9.0,94.0,6.0,81.0,0.0,3.0,0.7318,1
1.0,2.0,2.0,0.0,0.0,0.0,0.0,21.0,100.0,6.0,94.0,1.0,3.0,0.4742,1
0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,63.0,8.0,99.0,2.0,1.0,0.5515,1
2.0,2.0,1.0,2.0,1.0,1.0,0.0,16.0,79.0,7.0,74.0,3.0,2.0,0.3121,1
0.0,0.0,2.0,1.0,1.0,0.0,0.0,31.0,84.0,7.0,71.0,4.0,4.0,0.5318,1
1.0,2.0,1.0,1.0,1.0,1.0,0.0,7.0,72.0,4.0,94.0,4.0,4.0,0.647,1
1.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,90.0,5.0,100.0,1.0,3.0,0.5455,1
1.0,2.0,1.0,1.0,1.0,1.0,0.0,22.0,97.0,6.0,57.0,0.0,2.0,0.4667,1
1.0,0.0,2.0,1.0,0.0,0.0,1.0,21.0,67.0,7.0,52.0,3.0,3.0,0.4409,0
1.0,1.0,2.0,1.0,1.0,1.0,0.0,11.0,86.0,6.0,84.0,0.0,3.0,0.55,1
2.0,1.0,2.0,1.0,1.0,1.0,0.0,24.0,95.0,8.0,86.0,1.0,3.0,0.2182,1
1.0,0.0,1.0,1.0,0.0,1.0,0.0,22.0,93.0,6.0,52.0,1.0,3.0,0.4667,1
0.0,2.0,1.0,1.0,1.0,1.0,0.0,25.0,97.0,6.0,77.0,1.0,4.0,0.6106,1
2.0,0.0,1.0,1.0,0.0,1.0,0.0,23.0,76.0,7.0,57.0,1.0,3.0,0.2591,1
1.0,2.0,2.0,0.0,1.0,1.0,0.0,23.0,72.0,8.0,51.0,2.0,3.0,0.3924,1
2.0,2.0,2.0,1.0,1.0,0.0,0.0,19.0,89.0,9.0,92.0,5.0,3.0,0.2227,1
2.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,91.0,10.0,98.0,0.0,3.0,0.1591,1
2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,80.0,9.0,79.0,0.0,3.0,0.2,1
2.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,74.0,8.0,54.0,2.0,2.0,0.2939,0
2.0,0.0,1.0,1.0,1.0,0.0,1.0,23.0,63.0,8.0,69.0,2.0,4.0,0.2258,0
0.0,0.0,2.0,1.0,1.0,1.0,0.0,19.0,84.0,7.0,75.0,1.0,2.0,0.6227,1
1.0,1.0,2.0,2.0,1.0,0.0,0.0,18.0,84.0,6.0,94.0,3.0,4.0,0.497,1
1.0,2.0,1.0,1.0,1.0,0.0,0.0,28.0,63.0,8.0,88.0,2.0,2.0,0.3545,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,81.0,9.0,81.0,1.0,3.0,0.4273,1
2.0,0.0,2.0,1.0,1.0,1.0,0.0,12.0,65.0,5.0,75.0,0.0,2.0,0.4091,0
1.0,2.0,1.0,1.0,1.0,1.0,0.0,22.0,69.0,5.0,79.0,1.0,3.0,0.5,1
1.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,65.0,10.0,74.0,1.0,5.0,0.4394,0
2.0,2.0,0.0,1.0,1.0,1.0,0.0,21.0,86.0,9.0,59.0,2.0,3.0,0.2076,1
2.0,2.0,2.0,1.0,1.0,0.0,0.0,11.0,60.0,7.0,59.0,2.0,1.0,0.35,0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,17.0,66.0,8.0,83.0,4.0,5.0,0.4379,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,64.0,8.0,93.0,0.0,2.0,0.453,0
0.0,2.0,0.0,1.0,0.0,0.0,0.0,24.0,63.0,6.0,99.0,0.0,3.0,0.6182,0
1.0,2.0,2.0,0.0,1.0,1.0,0.0,21.0,80.0,7.0,60.0,1.0,2.0,0.4409,1
2.0,1.0,2.0,0.0,0.0,0.0,0.0,24.0,67.0,8.0,84.0,0.0,1.0,0.2182,1
0.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,99.0,5.0,75.0,2.0,1.0,0.7197,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,79.0,8.0,89.0,0.0,4.0,0.4455,1
0.0,1.0,1.0,1.0,1.0,0.0,0.0,20.0,87.0,8.0,89.0,2.0,3.0,0.5818,1
2.0,2.0,1.0,0.0,1.0,1.0,0.0,23.0,79.0,7.0,66.0,1.0,3.0,0.2591,1
1.0,1.0,2.0,2.0,1.0,0.0,0.0,21.0,94.0,5.0,94.0,2.0,2.0,0.5076,1
2.0,2.0,1.0,2.0,0.0,1.0,0.0,19.0,90.0,5.0,85.0,0.0,5.0,0.3561,1
1.0,2.0,2.0,2.0,0.0,1.0,0.0,25.0,93.0,5.0,63.0,2.0,2.0,0.4773,1
1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,61.0,10.0,62.0,0.0,4.0,0.3939,0
1.0,1.0,0.0,2.0,1.0,1.0,0.0,24.0,60.0,5.0,69.0,1.0,5.0,0.4848,0
1.0,1.0,2.0,2.0,0.0,1.0,0.0,27.0,76.0,7.0,68.0,1.0,3.0,0.3955,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,93.0,9.0,70.0,0.0,1.0,0.3742,1
0.0,2.0,1.0,1.0,1.0,1.0,1.0,21.0,75.0,7.0,70.0,3.0,4.0,0.6076,1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,89.0,8.0,69.0,3.0,4.0,0.6576,0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,11.0,75.0,9.0,77.0,1.0,2.0,0.45,0
1.0,0.0,1.0,2.0,0.0,1.0,0.0,25.0,72.0,8.0,58.0,0.0,4.0,0.3773,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,22.0,79.0,7.0,71.0,2.0,2.0,0.4333,1
1.0,2.0,2.0,0.0,1.0,1.0,0.0,25.0,97.0,5.0,85.0,2.0,2.0,0.4773,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,34.0,61.0,9.0,75.0,1.0,2.0,0.2758,1
0.0,2.0,1.0,0.0,0.0,1.0,0.0,16.0,64.0,9.0,58.0,1.0,3.0,0.5788,0
